原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗金额
淀粉,辅料,6.6,486,3207.6,1.23,自然损耗,B002,39.45
淀粉,辅料,7.12,452,3218.24,1.26,加工工艺,B003,40.55
淀粉,辅料,8.2,484,3968.8,0.74,存储不当,B004,29.37
淀粉,辅料,7.1,414,2939.4,1.82,存储不当,B005,53.5
牛肉,主料,62.38,786,49030.68,6.74,加工工艺,B001,3304.67
牛肉,主料,67.31,777,52299.87,5.46,存储不当,B002,2855.57
牛肉,主料,67.58,873,58997.34,5.12,存储不当,B003,3020.66
牛肉,主料,62.6,755,47263.0,5.12,存储不当,B004,2419.87
牛肉,主料,61.16,616,37674.56,3.3,运输破损,B005,1243.26
猪肉,主料,33.43,1054,35235.22,4.53,运输破损,B001,1596.16
猪肉,主料,32.46,996,32330.16,5.74,自然损耗,B002,1855.75
猪肉,主料,34.37,1209,41553.33,2.7,存储不当,B003,1121.94
猪肉,主料,33.48,1215,40678.2,2.99,加工工艺,B004,1216.28
猪肉,主料,36.05,1113,40123.65,3.89,存储不当,B005,1560.81
盐,辅料,3.19,445,1419.55,1.08,运输破损,B001,15.33
盐,辅料,2.66,535,1423.1,1.24,存储不当,B002,17.65
盐,辅料,2.76,466,1286.16,0.82,存储不当,B003,10.55
盐,辅料,2.88,406,1169.28,0.81,存储不当,B004,9.47
盐,辅料,2.75,528,1452.0,0.62,存储不当,B005,9.0
糖,辅料,5.62,543,3051.66,1.1,存储不当,B001,33.57
糖,辅料,5.33,511,2723.63,1.27,存储不当,B002,34.59
糖,辅料,5.52,484,2671.68,1.26,存储不当,B003,33.66
糖,辅料,5.1,656,3345.6,0.83,加工工艺,B004,27.77
糖,辅料,4.47,637,2847.39,1.29,加工工艺,B005,36.73
纸箱,包装材料,4.68,986,4614.48,1.35,加工工艺,B001,62.3
纸箱,包装材料,5.35,855,4574.25,1.1,存储不当,B002,50.32
纸箱,包装材料,4.81,921,4430.01,1.73,加工工艺,B003,76.64
纸箱,包装材料,5.16,848,4375.68,1.48,自然损耗,B004,64.76
纸箱,包装材料,5.85,1123,6569.55,0.74,加工工艺,B005,48.61
缓冲泡沫,包装材料,2.8,1399,3917.2,1.19,存储不当,B001,46.61
缓冲泡沫,包装材料,3.15,1496,4712.4,1.03,运输破损,B002,48.54
缓冲泡沫,包装材料,3.31,1393,4610.83,1.14,运输破损,B003,52.56
缓冲泡沫,包装材料,2.95,1460,4307.0,1.27,加工工艺,B004,54.7
缓冲泡沫,包装材料,3.2,1646,5267.2,1.33,存储不当,B005,70.05
胶带,包装材料,1.0,3245,3245.0,0.5,加工工艺,B001,16.23
胶带,包装材料,1.03,2953,3041.59,0.5,存储不当,B002,15.21
胶带,包装材料,1.05,2705,2840.25,0.61,加工工艺,B003,17.33
胶带,包装材料,0.92,2562,2357.04,0.52,加工工艺,B004,12.26
胶带,包装材料,1.06,3224,3417.44,0.5,其他,B005,17.09
虾,主料,67.32,391,26322.12,4.49,运输破损,B001,1181.86
虾,主料,63.3,439,27788.7,8.3,运输破损,B002,2306.46
虾,主料,69.6,448,31180.8,6.76,加工工艺,B003,2107.82
虾,主料,66.39,417,27684.63,8.58,存储不当,B004,2375.34
虾,主料,69.8,475,33155.0,2.14,其他,B005,709.52
酱油,辅料,15.3,416,6364.8,2.07,加工工艺,B001,131.75
酱油,辅料,15.28,414,6325.92,2.05,存储不当,B002,129.68
酱油,辅料,17.24,422,7275.28,1.76,存储不当,B003,128.04
酱油,辅料,15.79,353,5573.87,2.99,自然损耗,B004,166.66
酱油,辅料,16.39,360,5900.4,3.1,加工工艺,B005,182.91
醋,辅料,10.33,329,3398.57,3.24,加工工艺,B001,110.11
醋,辅料,9.8,272,2665.6,1.71,存储不当,B002,45.58
醋,辅料,9.35,297,2776.95,2.39,运输破损,B003,66.37
醋,辅料,10.22,329,3362.38,2.21,存储不当,B004,74.31
醋,辅料,11.16,290,3236.4,3.7,加工工艺,B005,119.75
面粉,主料,8.53,2020,17230.6,1.94,加工工艺,B001,334.27
面粉,主料,8.06,1522,12267.32,1.98,存储不当,B002,242.89
面粉,主料,8.23,2354,19373.42,1.83,存储不当,B003,354.53
面粉,主料,7.48,1879,14054.92,2.58,运输破损,B004,362.62
面粉,主料,8.21,1872,15369.12,2.37,加工工艺,B005,364.25
香料,辅料,51.54,134,6906.36,5.71,运输破损,B001,394.35
香料,辅料,50.23,129,6479.67,5.99,存储不当,B002,388.13
香料,辅料,52.24,169,8828.56,6.95,存储不当,B003,613.58
香料,辅料,44.49,133,5917.17,6.21,加工工艺,B004,367.46
香料,辅料,52.06,159,8277.54,10.8,存储不当,B005,893.97
鱼肉,主料,42.41,566,24004.06,6.07,加工工艺,B001,1457.05
鱼肉,主料,46.24,473,21871.52,5.19,存储不当,B002,1135.13
鱼肉,主料,43.61,551,24029.11,5.53,加工工艺,B003,1328.81
鱼肉,主料,48.71,667,32489.57,3.79,运输破损,B004,1231.35
鱼肉,主料,43.89,623,27343.47,5.97,存储不当,B005,1632.41
鸡肉,主料,19.04,1833,34900.32,3.49,存储不当,B001,1218.02
鸡肉,主料,18.31,1648,30174.88,2.43,加工工艺,B002,733.25
鸡肉,主料,20.33,1147,23318.51,2.34,存储不当,B003,545.65
鸡肉,主料,20.31,1632,33145.92,3.65,存储不当,B004,1209.83
鸡肉,主料,19.81,1445,28625.45,2.21,加工工艺,B005,632.62
