原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗金额
有机蔬菜,主料,15.0,678,10170.0,3.71,存储不当,BATCH-0025,377.31
有机蔬菜,主料,15.0,708,10620.0,4.75,运输破损,BATCH-0026,504.45
有机蔬菜,主料,15.0,655,9825.0,5.82,加工工艺,BATCH-0027,571.82
有机蔬菜,主料,15.0,733,10995.0,4.2,过期报废,BATCH-0028,461.79
特级食用油,主料,45.0,311,13995.0,3.62,存储不当,BATCH-0029,506.62
特级食用油,主料,45.0,311,13995.0,2.51,存储不当,BATCH-0030,351.27
特级食用油,主料,45.0,276,12420.0,3.25,加工工艺,BATCH-0031,403.65
特级食用油,主料,45.0,300,13500.0,2.83,加工工艺,BATCH-0032,382.05
特级食用油,主料,45.0,337,15165.0,2.98,运输破损,BATCH-0033,451.92
食用盐,辅料,3.0,273,819.0,0.69,质量问题,BATCH-0034,5.65
食用盐,辅料,3.0,271,813.0,0.1,存储不当,BATCH-0035,0.81
食用盐,辅料,3.0,217,651.0,3.41,加工工艺,BATCH-0036,22.2
白砂糖,辅料,8.0,71,568.0,1.92,加工工艺,BATCH-0037,10.91
白砂糖,辅料,8.0,139,1112.0,3.09,存储不当,BATCH-0038,34.36
白砂糖,辅料,8.0,107,856.0,2.91,加工工艺,BATCH-0039,24.91
白砂糖,辅料,8.0,139,1112.0,4.3,加工工艺,BATCH-0040,47.82
白砂糖,辅料,8.0,128,1024.0,3.82,存储不当,BATCH-0041,39.12
酿造酱油,辅料,25.0,141,3525.0,4.81,存储不当,BATCH-0042,169.55
酿造酱油,辅料,25.0,153,3825.0,3.31,存储不当,BATCH-0043,126.61
酿造酱油,辅料,25.0,121,3025.0,4.86,质量问题,BATCH-0044,147.02
香醋,辅料,18.0,96,1728.0,2.87,过期报废,BATCH-0045,49.59
香醋,辅料,18.0,81,1458.0,2.71,过期报废,BATCH-0046,39.51
香醋,辅料,18.0,113,2034.0,1.61,质量问题,BATCH-0047,32.75
料酒,辅料,20.0,58,1160.0,4.79,加工工艺,BATCH-0048,55.56
料酒,辅料,20.0,103,2060.0,3.91,过期报废,BATCH-0049,80.55
料酒,辅料,20.0,124,2480.0,3.67,质量问题,BATCH-0050,91.02
味精,辅料,35.0,88,3080.0,1.83,运输破损,BATCH-0051,56.36
味精,辅料,35.0,81,2835.0,2.19,加工工艺,BATCH-0052,62.09
味精,辅料,35.0,47,1645.0,2.79,运输破损,BATCH-0053,45.9
味精,辅料,35.0,10,350.0,3.22,运输破损,BATCH-0054,11.27
五香粉,辅料,80.0,21,1680.0,5.44,存储不当,BATCH-0055,91.39
五香粉,辅料,80.0,50,4000.0,5.04,过期报废,BATCH-0056,201.6
五香粉,辅料,80.0,27,2160.0,3.54,运输破损,BATCH-0057,76.46
生姜大蒜,辅料,12.0,176,2112.0,3.23,加工工艺,BATCH-0058,68.22
生姜大蒜,辅料,12.0,161,1932.0,3.28,质量问题,BATCH-0059,63.37
生姜大蒜,辅料,12.0,152,1824.0,2.67,质量问题,BATCH-0060,48.7
食品级塑料袋,包装材料,0.5,3345,1672.5,2.77,加工工艺,BATCH-0061,46.33
食品级塑料袋,包装材料,0.5,3315,1657.5,1.22,加工工艺,BATCH-0062,20.22
食品级塑料袋,包装材料,0.5,3340,1670.0,1.8,质量问题,BATCH-0063,30.06
纸箱包装,包装材料,2.5,731,1827.5,0.93,运输破损,BATCH-0064,17.0
纸箱包装,包装材料,2.5,789,1972.5,0.9,运输破损,BATCH-0065,17.75
纸箱包装,包装材料,2.5,742,1855.0,1.91,运输破损,BATCH-0066,35.43
纸箱包装,包装材料,2.5,749,1872.5,1.77,过期报废,BATCH-0067,33.14
真空包装袋,包装材料,1.2,1622,1946.4,0.1,加工工艺,BATCH-0068,1.95
真空包装袋,包装材料,1.2,1631,1957.2,4.62,存储不当,BATCH-0069,90.42
真空包装袋,包装材料,1.2,1630,1956.0,4.59,加工工艺,BATCH-0070,89.78
标签贴纸,包装材料,0.1,5007,500.7,0.83,加工工艺,BATCH-0071,4.16
标签贴纸,包装材料,0.1,5007,500.7,2.7,过期报废,BATCH-0072,13.52
标签贴纸,包装材料,0.1,4957,495.7,0.1,过期报废,BATCH-0073,0.5
标签贴纸,包装材料,0.1,4954,495.4,1.68,加工工艺,BATCH-0074,8.32
保鲜膜,包装材料,3.0,629,1887.0,3.07,存储不当,BATCH-0075,57.93
保鲜膜,包装材料,3.0,604,1812.0,2.81,存储不当,BATCH-0076,50.92
保鲜膜,包装材料,3.0,664,1992.0,3.49,存储不当,BATCH-0077,69.52
保鲜膜,包装材料,3.0,597,1791.0,3.44,加工工艺,BATCH-0078,61.61
铝箔袋,包装材料,4.0,645,2580.0,0.59,加工工艺,BATCH-0079,15.22
铝箔袋,包装材料,4.0,550,2200.0,3.83,质量问题,BATCH-0080,84.26
铝箔袋,包装材料,4.0,616,2464.0,5.2,存储不当,BATCH-0081,128.13
